age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
41,retired,single,primary,no,2579,no,no,cellular,13,oct,213,1,-1,0,unknown
44,self-employed,married,unknown,no,163,yes,no,cellular,12,aug,44,1,100,3,success
27,admin.,married,secondary,no,102,yes,no,cellular,29,jan,123,2,-1,0,unknown
31,management,single,tertiary,no,86,no,no,cellular,29,jan,100,1,170,4,failure
29,services,single,secondary,no,84,no,yes,unknown,3,jul,587,3,-1,0,unknown
53,management,divorced,secondary,no,112,no,yes,cellular,11,aug,246,3,-1,0,unknown
28,blue-collar,single,secondary,no,61,yes,no,cellular,14,may,428,3,-1,0,unknown
42,blue-collar,married,primary,no,321,yes,no,unknown,14,may,147,3,-1,0,unknown
38,entrepreneur,married,secondary,no,197,no,no,unknown,17,jun,979,9,-1,0,unknown
60,housemaid,married,secondary,no,1211,no,no,telephone,18,aug,268,2,-1,0,unknown
31,blue-collar,married,secondary,no,113,yes,no,cellular,5,may,337,3,-1,0,unknown
31,management,married,tertiary,no,29230,no,no,cellular,25,aug,50,9,-1,0,unknown
34,technician,divorced,secondary,no,1301,yes,no,cellular,25,jul,124,2,-1,0,unknown
49,blue-collar,married,tertiary,no,1769,yes,no,cellular,14,may,283,2,-1,0,unknown
30,management,single,tertiary,no,409,no,no,cellular,3,feb,31,6,-1,0,unknown
40,admin.,married,secondary,no,153,yes,no,unknown,14,may,159,2,-1,0,unknown
41,blue-collar,married,primary,no,1821,no,yes,cellular,14,jul,137,3,-1,0,unknown
61,management,married,tertiary,no,0,yes,no,cellular,15,apr,114,1,-1,0,unknown
51,admin.,married,secondary,no,907,yes,no,telephone,21,jul,722,3,-1,0,unknown
75,retired,married,primary,no,3504,no,no,telephone,9,aug,195,1,-1,0,unknown
51,management,married,tertiary,no,79,no,yes,cellular,22,aug,209,7,-1,0,unknown
33,blue-collar,married,primary,no,1217,yes,no,unknown,27,may,271,3,-1,0,unknown
48,blue-collar,married,secondary,no,-202,yes,yes,cellular,19,nov,565,1,112,4,failure
38,technician,married,tertiary,no,128,no,no,cellular,13,aug,183,5,-1,0,unknown
50,technician,single,secondary,no,246,yes,no,cellular,17,jul,174,2,-1,0,unknown
43,admin.,married,secondary,no,477,yes,no,cellular,27,feb,476,2,-1,0,unknown
35,unemployed,divorced,tertiary,no,8903,yes,no,cellular,21,nov,336,6,-1,0,unknown
30,entrepreneur,single,tertiary,no,216,yes,no,cellular,20,apr,182,3,-1,0,unknown
37,self-employed,single,tertiary,no,1286,no,no,telephone,31,jul,37,7,-1,0,unknown
53,technician,divorced,secondary,no,173,no,yes,unknown,1,jul,157,1,-1,0,unknown
55,blue-collar,married,primary,no,-219,yes,no,telephone,14,may,427,2,364,4,failure
26,blue-collar,married,primary,no,-219,yes,yes,unknown,15,may,311,5,-1,0,unknown
32,blue-collar,married,primary,no,12705,yes,no,cellular,20,nov,211,1,-1,0,unknown
36,services,single,secondary,no,5315,yes,no,cellular,3,feb,43,4,-1,0,unknown
27,technician,single,tertiary,no,11862,no,no,telephone,25,may,281,5,101,1,success
35,technician,married,secondary,no,23,yes,no,unknown,26,may,147,1,-1,0,unknown
48,blue-collar,married,secondary,no,0,no,no,cellular,6,aug,311,5,-1,0,unknown
28,entrepreneur,married,secondary,no,490,yes,no,cellular,17,apr,728,1,316,3,other
51,technician,married,secondary,no,-396,yes,no,cellular,29,jul,179,6,-1,0,unknown
57,housemaid,divorced,primary,no,492,no,no,telephone,21,nov,181,2,-1,0,unknown
36,admin.,divorced,secondary,no,775,yes,no,unknown,21,may,65,3,-1,0,unknown
57,services,married,secondary,no,-37,no,yes,telephone,16,jul,31,6,-1,0,unknown
43,blue-collar,married,secondary,no,4520,yes,no,unknown,15,may,100,4,-1,0,unknown
58,retired,married,secondary,no,1227,no,no,cellular,2,feb,277,1,-1,0,unknown
40,management,married,tertiary,no,570,yes,no,unknown,8,may,105,2,-1,0,unknown
26,student,single,tertiary,no,294,no,no,cellular,5,mar,87,1,91,2,success
39,management,married,tertiary,no,763,yes,no,cellular,11,may,877,7,300,2,other
29,blue-collar,single,primary,no,80,yes,no,unknown,28,may,678,1,-1,0,unknown
33,services,married,secondary,no,-329,yes,no,cellular,9,apr,113,1,-1,0,unknown
40,unemployed,single,tertiary,no,7968,no,no,cellular,2,mar,263,2,180,2,success
47,blue-collar,married,secondary,no,265,yes,no,cellular,8,may,144,2,368,1,failure
46,management,married,primary,no,-292,yes,no,telephone,17,nov,100,1,-1,0,unknown
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown
33,blue-collar,married,unknown,no,24,yes,no,cellular,14,may,535,1,-1,0,unknown
61,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,210,1,182,2,success
74,retired,married,secondary,no,921,no,no,telephone,17,apr,394,2,-1,0,unknown
42,blue-collar,married,primary,no,1455,yes,no,cellular,2,feb,279,2,269,2,other
31,technician,divorced,secondary,no,0,no,no,cellular,29,aug,256,2,-1,0,unknown
39,blue-collar,married,secondary,no,285,yes,yes,unknown,6,may,209,1,-1,0,unknown
39,technician,single,secondary,no,1104,no,no,cellular,20,nov,333,2,105,2,success
58,retired,divorced,secondary,yes,-397,no,yes,cellular,14,aug,386,1,-1,0,unknown
33,blue-collar,married,primary,no,62,yes,no,telephone,11,may,26,1,-1,0,unknown
32,technician,married,tertiary,no,4089,no,no,cellular,26,may,114,7,287,3,failure
33,technician,married,secondary,no,3243,no,no,cellular,12,aug,439,4,-1,0,unknown
49,management,married,tertiary,no,224,yes,no,cellular,28,jul,68,3,-1,0,unknown
44,blue-collar,married,primary,no,0,yes,no,cellular,30,jul,83,2,-1,0,unknown
37,services,married,secondary,no,335,yes,no,cellular,12,may,107,2,368,2,failure
30,services,married,primary,no,997,yes,no,cellular,28,jul,76,3,-1,0,unknown
57,unknown,married,primary,no,1884,no,no,telephone,28,jun,133,4,-1,0,unknown
58,retired,married,secondary,no,919,yes,yes,cellular,30,apr,329,2,346,2,failure
38,admin.,single,secondary,no,393,no,no,unknown,6,may,184,2,-1,0,unknown
55,blue-collar,single,secondary,no,82,no,yes,cellular,7,jul,500,1,-1,0,unknown
35,management,single,secondary,no,0,no,no,unknown,6,jun,19,1,-1,0,unknown
32,management,divorced,tertiary,no,787,yes,no,cellular,11,aug,72,2,-1,0,unknown
33,blue-collar,single,secondary,no,-367,yes,yes,cellular,21,nov,225,3,-1,0,unknown
57,blue-collar,married,unknown,no,4722,yes,no,unknown,18,jun,121,2,-1,0,unknown
36,self-employed,married,primary,no,2022,no,no,unknown,19,jun,71,2,-1,0,unknown
37,blue-collar,single,primary,no,851,yes,no,cellular,15,may,151,1,352,1,failure
34,services,married,secondary,no,88,yes,yes,unknown,29,may,82,2,-1,0,unknown
57,technician,married,primary,no,4442,no,no,cellular,8,jul,97,6,-1,0,unknown
34,technician,married,secondary,no,1464,yes,no,unknown,23,may,350,1,-1,0,unknown
32,self-employed,married,secondary,no,-33,yes,no,cellular,18,may,158,1,355,3,failure
33,technician,single,secondary,no,18,no,no,cellular,22,aug,93,2,-1,0,unknown
28,technician,married,secondary,no,-302,yes,no,cellular,13,may,152,4,366,3,failure
26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure
42,admin.,single,secondary,no,2790,yes,no,cellular,7,may,425,1,336,1,failure
47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown
52,blue-collar,married,secondary,no,223,no,no,cellular,20,aug,81,4,-1,0,unknown
22,student,single,secondary,no,2139,no,no,cellular,17,mar,133,8,-1,0,unknown
45,technician,single,tertiary,no,2100,yes,no,cellular,23,jul,285,2,-1,0,unknown
35,blue-collar,married,secondary,no,86,no,no,cellular,31,jul,128,2,-1,0,unknown
54,services,married,secondary,no,882,yes,no,cellular,18,may,217,1,-1,0,unknown
38,management,divorced,tertiary,no,554,no,no,cellular,21,nov,45,1,101,4,failure
54,admin.,divorced,secondary,no,459,no,yes,telephone,20,nov,132,3,-1,0,unknown
29,technician,single,secondary,no,286,no,no,telephone,2,feb,70,2,-1,0,unknown
42,unknown,single,tertiary,no,2918,no,no,unknown,18,jun,18,1,-1,0,unknown
44,blue-collar,married,secondary,no,1127,no,no,cellular,16,jun,399,1,-1,0,unknown
29,services,married,secondary,no,3,yes,no,cellular,10,jul,183,1,-1,0,unknown
34,management,single,tertiary,no,5284,yes,no,cellular,29,jul,198,5,-1,0,unknown
52,technician,married,unknown,no,425,yes,no,cellular,28,jan,219,2,254,3,failure
34,management,single,tertiary,no,1171,yes,no,cellular,10,jul,129,1,-1,0,unknown
47,blue-collar,married,primary,no,4666,no,no,unknown,14,may,451,3,-1,0,unknown
39,blue-collar,single,unknown,no,2841,yes,no,unknown,5,jun,1121,3,-1,0,unknown
52,self-employed,married,secondary,no,9,no,yes,unknown,6,jun,44,1,-1,0,unknown
49,admin.,divorced,secondary,no,-73,yes,no,cellular,30,jul,31,22,-1,0,unknown
37,blue-collar,married,primary,no,693,yes,no,unknown,7,may,327,3,-1,0,unknown
55,technician,married,primary,no,284,no,no,cellular,22,jul,70,9,-1,0,unknown
27,technician,single,secondary,no,0,yes,no,cellular,6,may,176,1,-1,0,unknown
42,entrepreneur,married,tertiary,no,1068,yes,no,cellular,13,apr,444,1,300,8,failure
51,blue-collar,married,primary,no,202,yes,no,unknown,8,may,200,2,-1,0,unknown
74,retired,married,secondary,no,9480,no,no,cellular,21,apr,211,1,-1,0,unknown
33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,260,2,-1,0,unknown
31,services,married,secondary,no,418,yes,yes,cellular,9,jul,219,1,-1,0,unknown
32,management,married,tertiary,no,273,yes,no,cellular,28,jul,231,10,-1,0,unknown
36,blue-collar,married,secondary,no,-477,yes,no,cellular,30,jan,473,2,-1,0,unknown
60,unemployed,married,secondary,no,2000,no,no,cellular,8,apr,58,1,-1,0,unknown
46,technician,divorced,secondary,no,772,yes,no,unknown,23,may,488,1,-1,0,unknown
29,blue-collar,single,secondary,no,114,yes,no,cellular,6,may,500,1,-1,0,unknown
77,management,married,tertiary,no,5619,no,no,cellular,25,mar,189,1,-1,0,unknown
48,unemployed,married,primary,no,0,no,no,cellular,29,jul,569,2,-1,0,unknown
58,retired,married,secondary,no,3382,no,yes,cellular,28,may,294,2,309,2,failure
42,admin.,divorced,secondary,no,2129,no,no,cellular,13,aug,633,1,182,2,other
47,technician,married,secondary,no,-107,no,no,cellular,8,jul,236,2,-1,0,unknown
36,technician,married,tertiary,no,202,no,no,cellular,1,jun,206,1,192,1,failure
29,blue-collar,married,secondary,no,100,yes,yes,cellular,6,may,152,4,344,2,failure
34,technician,divorced,secondary,no,17,yes,no,cellular,18,may,375,3,-1,0,unknown
64,retired,married,primary,no,5871,no,no,cellular,3,nov,195,1,-1,0,unknown
36,blue-collar,married,primary,no,1580,yes,no,cellular,14,jul,615,3,-1,0,unknown
42,management,single,tertiary,no,7560,no,no,cellular,28,jan,132,1,-1,0,unknown
54,technician,married,unknown,no,851,yes,no,unknown,5,may,108,2,-1,0,unknown
57,retired,divorced,tertiary,no,241,no,yes,cellular,5,aug,146,1,-1,0,unknown
33,self-employed,married,tertiary,no,1301,yes,no,unknown,21,may,184,2,-1,0,unknown
34,technician,married,secondary,no,351,yes,no,cellular,18,jul,467,1,-1,0,unknown
29,management,single,tertiary,no,4694,no,no,cellular,15,jun,181,1,-1,0,unknown
31,technician,single,secondary,no,1170,yes,no,unknown,2,jun,120,2,-1,0,unknown
43,services,married,primary,no,29,no,no,telephone,7,jul,259,8,-1,0,unknown
59,management,married,tertiary,no,1889,no,no,cellular,21,jul,256,1,-1,0,unknown
43,blue-collar,single,primary,no,13620,yes,no,cellular,20,nov,128,1,-1,0,unknown
30,admin.,married,secondary,no,874,yes,no,cellular,22,jul,93,2,-1,0,unknown
36,services,married,secondary,no,338,no,no,unknown,14,may,90,1,-1,0,unknown
44,management,divorced,unknown,no,1784,no,yes,cellular,21,nov,279,1,-1,0,unknown
39,services,married,secondary,no,861,yes,no,cellular,30,jul,218,4,-1,0,unknown
33,admin.,single,tertiary,no,146,no,no,cellular,23,jul,351,3,-1,0,unknown
55,unknown,married,primary,no,159,no,no,unknown,4,sep,15,1,-1,0,unknown
35,blue-collar,married,secondary,no,-102,yes,no,cellular,14,jul,334,3,-1,0,unknown
46,admin.,divorced,tertiary,no,3749,yes,no,unknown,13,may,69,19,-1,0,unknown
39,services,single,secondary,no,-189,yes,no,unknown,30,may,76,9,-1,0,unknown
29,self-employed,married,tertiary,no,242,yes,no,cellular,18,jul,73,4,-1,0,unknown
54,management,single,secondary,no,602,no,no,cellular,30,jul,101,2,-1,0,unknown
30,technician,single,tertiary,no,-241,yes,no,unknown,28,may,147,1,-1,0,unknown
31,management,single,tertiary,no,10215,no,no,cellular,22,aug,139,2,-1,0,unknown
58,services,married,secondary,no,1301,yes,no,cellular,11,may,261,1,286,2,failure
42,management,single,tertiary,no,1,no,no,cellular,27,aug,223,13,-1,0,unknown
44,technician,married,secondary,no,1901,no,no,cellular,6,aug,165,2,-1,0,unknown
60,retired,married,primary,no,414,no,no,unknown,8,may,395,1,-1,0,unknown
28,services,married,secondary,no,376,no,yes,telephone,29,jul,49,4,-1,0,unknown
38,technician,married,secondary,no,20,no,no,cellular,2,feb,147,1,-1,0,unknown
46,blue-collar,divorced,secondary,no,2441,no,no,unknown,19,jun,217,2,-1,0,unknown
58,admin.,married,secondary,no,855,no,no,cellular,14,aug,81,2,-1,0,unknown
46,management,married,tertiary,no,4879,no,no,cellular,31,jul,195,3,-1,0,unknown
32,technician,married,tertiary,no,3538,yes,no,unknown,28,may,95,5,-1,0,unknown
36,admin.,single,secondary,no,1414,yes,no,cellular,16,apr,244,1,-1,0,unknown
52,services,married,secondary,no,992,yes,no,cellular,27,oct,424,1,515,1,failure
48,services,divorced,unknown,no,973,no,no,cellular,8,oct,319,1,134,2,success
30,blue-collar,single,primary,no,3195,yes,yes,cellular,25,jul,134,1,-1,0,unknown
36,blue-collar,married,primary,no,356,yes,yes,cellular,12,may,692,4,172,4,other
36,blue-collar,married,primary,no,453,yes,no,cellular,16,apr,176,1,330,2,failure
31,technician,single,tertiary,no,4561,yes,no,cellular,15,may,301,1,274,2,failure
45,unemployed,single,secondary,no,382,yes,yes,cellular,18,may,182,1,-1,0,unknown
32,technician,married,tertiary,no,2688,no,no,cellular,14,oct,216,1,57,1,failure
43,blue-collar,married,primary,no,-25,yes,no,cellular,12,may,254,4,365,2,failure
46,management,single,tertiary,no,2987,yes,no,cellular,16,jul,318,1,-1,0,unknown
30,technician,single,secondary,no,160,no,no,cellular,14,aug,90,2,-1,0,unknown
25,student,single,tertiary,no,293,no,no,cellular,12,apr,231,1,-1,0,unknown
26,services,married,secondary,no,44,yes,yes,cellular,4,feb,193,2,237,20,other
49,blue-collar,divorced,primary,no,15,yes,no,unknown,27,may,550,7,-1,0,unknown
30,admin.,married,secondary,no,215,no,yes,cellular,4,jul,95,2,-1,0,unknown
47,entrepreneur,married,tertiary,no,0,no,no,cellular,5,may,418,3,-1,0,unknown
30,blue-collar,single,secondary,no,411,no,no,cellular,25,may,115,1,-1,0,unknown
37,management,married,tertiary,no,887,no,no,cellular,13,aug,257,5,-1,0,unknown
35,technician,married,secondary,no,-1459,yes,no,cellular,27,aug,28,14,-1,0,unknown
34,self-employed,single,secondary,no,360,yes,no,cellular,7,dec,371,1,-1,0,unknown
59,admin.,married,secondary,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown
46,technician,married,secondary,no,278,yes,no,cellular,10,jul,185,1,-1,0,unknown
38,blue-collar,married,primary,no,0,yes,no,cellular,8,may,583,2,-1,0,unknown
57,retired,married,primary,no,5010,no,no,cellular,21,nov,570,4,-1,0,unknown
39,blue-collar,married,secondary,no,180,yes,no,cellular,16,apr,237,1,-1,0,unknown
34,services,married,secondary,no,790,yes,no,cellular,20,apr,579,2,350,1,failure
27,admin.,married,secondary,no,1033,yes,no,unknown,9,may,1713,1,-1,0,unknown
26,student,married,tertiary,no,8750,no,no,cellular,26,mar,98,2,-1,0,unknown
38,blue-collar,married,secondary,no,625,yes,yes,cellular,11,may,210,1,-1,0,unknown
37,admin.,single,secondary,no,796,yes,no,telephone,29,jan,143,3,-1,0,unknown
32,management,single,tertiary,no,3289,no,no,cellular,8,oct,375,2,179,2,failure
35,services,married,secondary,no,1385,yes,no,cellular,29,jan,331,1,-1,0,unknown
35,blue-collar,single,secondary,no,470,yes,no,unknown,21,may,123,1,-1,0,unknown
28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,unknown
30,blue-collar,married,secondary,no,177,yes,no,cellular,9,apr,62,2,332,3,failure
30,technician,single,secondary,no,1692,yes,yes,unknown,28,may,141,2,-1,0,unknown
54,management,married,tertiary,no,0,no,no,cellular,14,aug,260,7,-1,0,unknown
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown
40,technician,married,secondary,no,8844,no,no,cellular,8,aug,204,1,-1,0,unknown
57,unemployed,married,primary,no,7880,no,no,unknown,9,jun,318,2,-1,0,unknown
51,admin.,married,secondary,no,0,no,no,cellular,21,jul,130,1,-1,0,unknown
30,management,single,tertiary,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown
42,entrepreneur,married,tertiary,no,1654,no,no,unknown,17,jun,116,1,-1,0,unknown
23,student,single,secondary,no,43,no,no,unknown,27,aug,4,1,-1,0,unknown
34,blue-collar,divorced,secondary,no,1780,yes,no,unknown,2,jun,187,9,-1,0,unknown
46,technician,divorced,secondary,no,0,yes,yes,cellular,8,may,306,1,262,1,other
30,management,single,tertiary,no,0,no,no,cellular,25,aug,144,18,-1,0,unknown
27,blue-collar,single,secondary,no,-289,yes,yes,cellular,5,may,94,5,-1,0,unknown
24,technician,single,secondary,no,-192,yes,no,unknown,13,may,125,1,-1,0,unknown
29,blue-collar,married,secondary,no,314,yes,yes,cellular,17,apr,357,1,-1,0,unknown
50,services,married,secondary,no,2362,yes,yes,cellular,23,jul,59,4,-1,0,unknown
54,management,married,tertiary,no,292,no,no,unknown,12,jun,120,1,-1,0,unknown
28,blue-collar,single,secondary,no,416,yes,no,unknown,13,may,452,2,-1,0,unknown
57,retired,married,secondary,no,3382,no,yes,telephone,23,jul,165,2,-1,0,unknown
60,technician,married,secondary,no,21,no,no,telephone,9,feb,172,4,-1,0,unknown
48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure
34,housemaid,married,secondary,no,0,yes,no,unknown,30,oct,154,1,-1,0,unknown
44,blue-collar,married,secondary,no,647,yes,no,cellular,6,apr,276,2,-1,0,unknown
37,blue-collar,married,primary,no,1720,yes,no,unknown,2,jun,118,1,-1,0,unknown
49,technician,married,secondary,yes,-74,yes,no,cellular,19,nov,114,1,-1,0,unknown
79,retired,divorced,primary,no,20,no,no,cellular,29,apr,165,2,182,1,other
31,blue-collar,divorced,secondary,no,-209,yes,no,cellular,8,may,154,3,367,2,failure
28,services,single,secondary,no,-427,yes,yes,unknown,21,may,965,2,-1,0,unknown
34,admin.,married,secondary,no,79,yes,no,cellular,17,apr,193,1,329,1,failure
34,blue-collar,single,primary,no,709,yes,no,unknown,20,may,106,1,-1,0,unknown
57,retired,married,secondary,no,519,yes,no,unknown,3,jun,393,3,-1,0,unknown
35,management,married,tertiary,no,8,no,no,cellular,23,apr,93,3,-1,0,unknown
39,admin.,single,secondary,no,-25,yes,no,unknown,6,may,576,1,-1,0,unknown
36,blue-collar,married,primary,yes,-1168,yes,no,unknown,29,may,216,7,-1,0,unknown
39,technician,married,secondary,no,0,no,yes,unknown,27,jun,103,1,-1,0,unknown
35,blue-collar,married,primary,no,690,yes,no,unknown,26,may,880,3,-1,0,unknown
34,management,married,tertiary,no,520,yes,no,cellular,12,aug,1307,4,-1,0,unknown
56,blue-collar,married,primary,no,547,no,no,unknown,9,jun,84,1,-1,0,unknown
46,management,single,tertiary,no,187,yes,no,unknown,5,may,113,2,-1,0,unknown
52,housemaid,married,secondary,no,14363,no,no,unknown,5,jun,132,1,-1,0,unknown
36,admin.,married,secondary,no,176,yes,no,unknown,23,may,111,1,-1,0,unknown
39,technician,married,tertiary,no,1161,yes,no,cellular,9,apr,236,1,336,1,failure
55,management,married,tertiary,no,13578,no,no,cellular,29,oct,247,2,-1,0,unknown
26,management,single,tertiary,no,3704,no,no,cellular,19,aug,238,4,-1,0,unknown
48,blue-collar,married,secondary,no,1394,yes,no,telephone,13,may,30,10,-1,0,unknown
58,self-employed,married,secondary,no,372,no,no,unknown,17,jun,315,2,-1,0,unknown
42,unemployed,married,secondary,no,0,yes,yes,cellular,23,mar,158,1,330,12,failure
35,management,divorced,secondary,no,910,no,no,cellular,29,aug,77,14,-1,0,unknown
30,admin.,single,secondary,no,648,no,no,cellular,19,oct,54,1,-1,0,unknown
48,services,divorced,secondary,no,3186,no,yes,cellular,9,apr,104,1,-1,0,unknown
42,blue-collar,single,primary,no,1322,yes,yes,cellular,8,jul,178,1,-1,0,unknown
52,self-employed,married,tertiary,no,6657,no,no,telephone,30,apr,917,1,-1,0,unknown
57,technician,married,secondary,no,2550,no,no,cellular,29,jan,73,2,-1,0,unknown
42,technician,married,secondary,no,0,yes,no,unknown,14,may,833,1,-1,0,unknown
46,management,married,tertiary,no,-3,no,no,cellular,28,aug,205,2,-1,0,unknown
34,blue-collar,married,primary,no,151,yes,no,cellular,17,jul,546,6,-1,0,unknown
46,blue-collar,married,unknown,no,336,yes,no,cellular,14,aug,260,3,457,1,other
35,technician,married,secondary,no,0,no,no,cellular,14,jul,125,2,-1,0,unknown
30,technician,married,tertiary,no,3192,yes,no,cellular,5,mar,172,2,-1,0,unknown
50,blue-collar,married,primary,no,419,yes,no,unknown,13,may,116,4,-1,0,unknown
47,housemaid,married,tertiary,no,333,no,no,telephone,7,jul,141,1,-1,0,unknown
37,technician,married,secondary,no,729,yes,no,cellular,15,jul,115,5,-1,0,unknown
46,admin.,single,secondary,no,757,yes,yes,cellular,6,apr,342,3,256,3,failure
54,admin.,married,secondary,no,865,yes,no,cellular,17,nov,71,1,-1,0,unknown
51,management,married,secondary,no,2604,no,no,unknown,19,jun,64,1,-1,0,unknown
53,technician,single,secondary,no,530,no,yes,telephone,18,jul,744,4,-1,0,unknown
59,retired,married,primary,no,21,no,no,telephone,8,jul,127,3,-1,0,unknown
46,blue-collar,single,primary,no,2851,yes,no,unknown,19,may,122,2,-1,0,unknown
41,services,married,secondary,no,1141,yes,no,cellular,29,jan,75,1,247,1,failure
49,management,divorced,tertiary,no,1253,yes,no,cellular,14,may,83,2,-1,0,unknown
57,technician,married,tertiary,no,0,no,no,cellular,21,aug,242,5,-1,0,unknown
30,technician,single,tertiary,no,-522,yes,no,unknown,13,may,375,1,-1,0,unknown
30,management,single,tertiary,no,0,no,no,cellular,7,jul,240,1,-1,0,unknown
26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other
25,blue-collar,single,secondary,no,84,yes,no,cellular,18,may,6,2,-1,0,unknown
58,management,divorced,tertiary,no,50,yes,no,unknown,3,jun,109,4,-1,0,unknown
52,services,married,secondary,no,-178,yes,yes,cellular,11,may,124,2,347,1,failure
32,admin.,single,tertiary,no,8866,no,no,cellular,18,mar,278,2,-1,0,unknown
49,retired,single,primary,no,25824,no,no,unknown,17,jun,94,1,-1,0,unknown
49,technician,married,tertiary,no,-129,yes,no,cellular,8,may,240,1,-1,0,unknown
34,technician,married,secondary,no,139,yes,yes,unknown,6,jun,52,13,-1,0,unknown
35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,jul,330,2,-1,0,unknown
39,blue-collar,married,primary,no,4,yes,no,cellular,19,nov,206,5,-1,0,unknown
29,unemployed,single,secondary,no,875,no,no,cellular,2,feb,137,1,-1,0,unknown
54,blue-collar,married,primary,no,-636,yes,no,unknown,30,may,324,3,-1,0,unknown
56,blue-collar,married,primary,no,313,no,no,cellular,28,aug,24,16,-1,0,unknown
35,technician,single,tertiary,no,130,yes,no,unknown,29,may,125,1,-1,0,unknown
